,date,open,high,low,close,volume,tic,day,macd,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,close_30_ema,close_60_ema,close_180_ema,boll,boll_ub,boll_lb
0,2020-01-01,1503.7459716796875,1512.760498046875,1491.3634033203125,1475.3841552734375,6463060,RELIANCE.NS,2,0.0,100.0,66.66666666666667,100.0,1475.3841552734375,1475.3841552734375,1475.3841552734375,1475.3841552734375,1475.3841552734375,1475.3841552734375,1523.4645172405487,1452.4213470172638
1,2020-01-02,1497.8023681640625,1526.48046875,1497.8023681640625,1500.501708984375,8173308,RELIANCE.NS,3,0.5635348588991747,100.0,66.66666666666667,100.0,1487.9429321289062,1487.9429321289062,1488.3615580240887,1488.1522450764974,1488.0127031114366,1487.9429321289062,1523.4645172405487,1452.4213470172638
2,2020-01-03,1518.6051025390625,1527.1739501953125,1508.6990966796875,1502.3096923828125,9684434,RELIANCE.NS,4,0.7741207214908172,100.0,69.33339439715955,100.0,1492.7318522135417,1492.7318522135417,1493.3242226367263,1493.029558420336,1492.8314155271478,1492.7318522135417,1522.8332902414188,1462.6304141856647
3,2020-01-06,1505.7271728515625,1513.552978515625,1483.933837890625,1467.4676513671875,11315596,RELIANCE.NS,0,-0.40703105367720127,41.98863607018878,-83.04135493633542,29.470649148710383,1486.4158020019531,1486.4158020019531,1486.1997950128748,1486.316067694576,1486.3844029069248,1486.4158020019531,1521.66270577097,1451.1688982329363
4,2020-01-07,1504.736572265625,1520.091064453125,1499.2882080078125,1490.0440673828125,7699489,RELIANCE.NS,1,-0.14191468159810938,58.2308003438,16.197904273345017,10.019623931254179,1487.141455078125,1487.141455078125,1487.0744600507394,1487.112188524597,1487.132690832633,1487.141455078125,1517.838191333237,1456.444718823013
5,2020-01-08,1500.774169921875,1520.04150390625,1495.8211669921875,1478.8536376953125,7406104,RELIANCE.NS,2,-0.45838558935724905,50.92045169559128,-21.655543551205806,16.870672555013964,1485.7601521809895,1485.7601521809895,1485.4661856550288,1485.6185567398286,1485.7142373763634,1485.7601521809895,1514.0377694430567,1457.4825349189223
6,2020-01-09,1524.152587890625,1535.445556640625,1516.87158203125,1512.9136962890625,6914533,RELIANCE.NS,3,0.8895321165971382,64.82464288295316,132.87180511140542,13.426055327930284,1489.6392299107142,1489.6392299107142,1490.2134114327826,1489.9184326064885,1489.7305880650142,1489.6392299107142,1522.6191611510033,1456.6592986704252
7,2020-01-10,1537.32763671875,1543.32080078125,1525.1927490234375,1512.5716552734375,5758760,RELIANCE.NS,4,1.7627824189351031,64.6344189851882,125.51633497229305,23.86437063687141,1492.5057830810547,1492.5057830810547,1493.7021005678835,1493.0912583714708,1492.6979810880996,1492.5057830810547,1527.078050359166,1457.9335158029435
8,2020-01-13,1530.5419921875,1544.0638427734375,1523.9544677734375,1508.711181640625,8437316,RELIANCE.NS,0,2.1491381972057297,62.49328446238733,96.83255423836972,21.48186905449632,1494.3063829210068,1494.3063829210068,1495.8476922336722,1495.0670452829027,1494.5573223125664,1494.3063829210068,1528.402632111591,1460.2101337304227
9,2020-01-14,1525.5394287109375,1535.445556640625,1507.559814453125,1494.7353515625,7299328,RELIANCE.NS,1,1.6720552593187676,55.59591817736223,21.510489895032183,3.848848139010598,1494.3492797851563,1494.3492797851563,1495.7002451797332,1495.028683531328,1494.5760284947419,1494.3492797851563,1526.4966766413643,1462.2018829289484
